-1.089181092708343845e+00,-1.074459803087293830e+00
-8.307091567788048581e-01,-1.244188275158061296e+00
-7.162657734912580842e-01,-1.375925441050112052e+00
-1.032110034295119272e+00,-1.068306436657495917e+00
-1.600731404899766508e+00,-5.309506399410600652e-01
-1.533399929986422494e+00,-6.932007472215723221e-01
-1.156440442999839391e+00,-8.970991370301650836e-01
-1.009233329438579796e+00,-1.050667476228840602e+00
-1.288226308838385181e+00,-8.826060056170720314e-01
-1.319562347095218247e+00,-8.144434992106363014e-01
